Electrical Gadgets,Company Name,Years of Warranty,Year of Manufacturing,Years of Expiry,Radiation Generated
Smartphone,Enterprises Group,1,2022,4,Minimal
Tablet,Solutions Group,2,2019,8,Minimal
Tablet,Electronics Corp,3,2018,6,Moderate
Laptop,Tech Ltd,2,2019,3,Moderate
Tablet,Enterprises Group,1,2020,8,High
Smartphone,Electronics Corp,4,2022,3,High
Laptop,Enterprises Group,1,2019,3,High
Smartwatch,Solutions Inc,5,2019,5,Minimal
Headphones,Systems Inc,5,2021,2,Low
Headphones,Solutions Ltd,3,2023,8,Minimal
Laptop,Electronics Group,2,2021,3,Moderate
Smartwatch,Electronics Inc,1,2019,5,Moderate
Headphones,Solutions Ltd,4,2020,7,High
Laptop,Innovations Ltd,1,2023,5,Minimal
Tablet,Enterprises Ltd,1,2020,6,Low
Smartwatch,Enterprises Ltd,5,2019,2,Low
Headphones,Enterprises Ltd,2,2020,8,Minimal
Laptop,Tech Corp,2,2018,8,Minimal
Tablet,Tech Inc,3,2021,3,High
Tablet,Tech Inc,1,2019,7,Moderate
Tablet,Gadget Group,4,2018,3,Minimal
Headphones,Tech Corp,3,2018,8,Minimal
Smartphone,Tech Ltd,2,2018,5,High
Smartwatch,Solutions Group,2,2019,6,High
Smartphone,Tech Corp,3,2018,6,Low
Smartwatch,Solutions Corp,2,2020,3,Low
Smartwatch,Solutions Ltd,2,2021,5,High
Tablet,Gadget Ltd,5,2024,6,Low
Smartwatch,Tech Corp,2,2024,7,Moderate
Tablet,Electronics Ltd,4,2021,7,Minimal
Headphones,Systems Ltd,4,2018,7,Minimal
Smartwatch,Enterprises Inc,3,2019,5,High
Laptop,Solutions Ltd,1,2020,8,Minimal
Laptop,Enterprises Corp,1,2022,5,Minimal
Headphones,Innovations Corp,1,2023,8,High
Tablet,Gadget Corp,4,2020,6,Minimal
Laptop,Gadget Inc,1,2024,7,High
Headphones,Systems Inc,3,2019,6,Moderate
Smartwatch,Gadget Inc,3,2018,5,Moderate
Tablet,Tech Ltd,1,2018,6,Minimal
Headphones,Tech Inc,4,2024,5,High
Laptop,Electronics Inc,3,2019,7,High
Smartwatch,Tech Corp,2,2023,8,Minimal
Headphones,Solutions Group,3,2018,6,Minimal
Tablet,Gadget Inc,1,2021,6,Low
Smartwatch,Systems Group,4,2018,6,Low
Laptop,Solutions Inc,1,2023,5,Moderate
Laptop,Innovations Ltd,3,2023,3,Low
Tablet,Systems Ltd,5,2023,6,Moderate
Smartphone,Systems Inc,3,2019,2,Moderate
Laptop,Systems Ltd,4,2019,8,High
Tablet,Gadget Ltd,4,2019,2,High
Smartwatch,Electronics Inc,5,2021,2,Moderate
Laptop,Enterprises Corp,3,2024,8,Moderate
Headphones,Solutions Group,5,2019,4,Low
Smartwatch,Enterprises Inc,5,2021,8,Moderate
Headphones,Electronics Inc,2,2018,7,Moderate
Laptop,Electronics Corp,1,2019,6,High
Headphones,Solutions Inc,1,2021,7,Minimal
Tablet,Electronics Group,1,2021,8,Minimal
Headphones,Tech Inc,4,2024,4,Low
Headphones,Solutions Corp,4,2021,6,High
Smartwatch,Tech Ltd,4,2018,3,Low
Smartwatch,Innovations Inc,2,2022,4,High
Smartphone,Innovations Inc,2,2022,8,High
Smartwatch,Gadget Ltd,5,2024,5,Moderate
Laptop,Enterprises Group,5,2024,7,High
Laptop,Innovations Ltd,4,2019,2,Minimal
Smartwatch,Innovations Ltd,5,2019,7,Minimal
Smartwatch,Tech Ltd,2,2024,5,High
Headphones,Electronics Ltd,3,2021,4,High
Smartphone,Innovations Inc,5,2024,6,Minimal
Tablet,Electronics Inc,4,2021,4,Low
Tablet,Enterprises Ltd,5,2024,5,High
Smartwatch,Solutions Group,4,2024,6,Low
Headphones,Solutions Group,2,2020,5,Low
Smartphone,Gadget Inc,3,2021,4,Low
Tablet,Gadget Ltd,2,2018,6,High
Laptop,Tech Ltd,4,2022,5,High
Laptop,Electronics Ltd,5,2019,6,High
Headphones,Enterprises Inc,4,2022,4,Moderate
Smartphone,Enterprises Corp,1,2020,8,Low
Headphones,Tech Ltd,1,2022,5,High
Smartwatch,Gadget Group,5,2024,6,Minimal
Headphones,Systems Corp,5,2022,8,High
Headphones,Gadget Group,5,2023,6,Moderate
Smartphone,Enterprises Ltd,2,2021,5,High
Tablet,Electronics Ltd,4,2022,3,Moderate
Tablet,Gadget Corp,4,2024,6,Moderate
Laptop,Electronics Group,5,2022,2,Low
Laptop,Solutions Ltd,4,2024,2,Low
Laptop,Electronics Ltd,4,2021,8,High
Smartwatch,Systems Group,1,2023,7,Low
Tablet,Innovations Group,3,2019,7,Moderate
Smartwatch,Innovations Corp,5,2021,2,High
Laptop,Gadget Group,5,2021,8,Low
Headphones,Tech Inc,5,2018,5,Moderate
Smartphone,Systems Group,3,2019,8,Moderate
Smartphone,Tech Corp,5,2024,2,High
Headphones,Gadget Group,2,2019,7,Low
Smartphone,Tech Inc,1,2019,5,Low
Headphones,Solutions Ltd,5,2022,7,Low
Laptop,Tech Inc,4,2018,2,Moderate
Smartphone,Innovations Corp,1,2021,7,Low
Headphones,Tech Group,5,2024,7,Moderate
Headphones,Electronics Corp,4,2021,4,High
Smartwatch,Solutions Ltd,3,2018,3,Moderate
Tablet,Solutions Corp,2,2023,8,High
Laptop,Electronics Inc,4,2023,6,Moderate
Headphones,Systems Ltd,4,2018,5,Low
Laptop,Electronics Corp,1,2018,4,Minimal
Laptop,Solutions Group,4,2022,5,Low
Smartphone,Systems Inc,3,2018,3,High
Laptop,Innovations Inc,4,2023,6,Low
Tablet,Electronics Group,5,2020,4,Low
Smartphone,Systems Corp,5,2018,6,High
Smartwatch,Innovations Inc,5,2019,4,Low
Laptop,Innovations Ltd,4,2023,2,High
Smartwatch,Electronics Corp,4,2019,2,High
Laptop,Enterprises Group,3,2019,2,Minimal
Tablet,Gadget Corp,3,2022,8,High
Tablet,Electronics Inc,1,2018,3,Low
Laptop,Gadget Ltd,5,2022,2,Minimal
Headphones,Innovations Corp,4,2020,8,Minimal
Laptop,Systems Group,3,2023,6,High
Tablet,Systems Group,2,2020,4,Minimal
Laptop,Enterprises Group,3,2022,6,Moderate
Headphones,Gadget Ltd,4,2020,4,Low
Laptop,Tech Corp,3,2023,8,Moderate
Smartphone,Innovations Group,2,2023,3,Minimal
Tablet,Enterprises Group,4,2021,6,High
Laptop,Innovations Inc,5,2020,2,Minimal
Smartwatch,Innovations Corp,2,2020,8,Minimal
Headphones,Gadget Corp,1,2023,3,High
Headphones,Enterprises Ltd,4,2024,4,Minimal
Smartwatch,Electronics Inc,2,2018,2,High
Tablet,Tech Group,1,2020,7,Low
Smartwatch,Tech Group,5,2023,8,Low
Smartphone,Enterprises Inc,3,2020,5,Minimal
Headphones,Tech Ltd,1,2023,6,Low
Tablet,Innovations Inc,1,2023,7,Moderate
Smartphone,Gadget Corp,5,2023,4,High
Smartwatch,Systems Corp,5,2020,8,Minimal
Smartphone,Systems Inc,3,2018,2,Low
Tablet,Tech Inc,4,2020,5,Moderate
Laptop,Electronics Ltd,1,2021,3,High
Laptop,Enterprises Inc,5,2021,7,Minimal
Tablet,Innovations Inc,5,2024,7,Moderate
Headphones,Systems Corp,2,2019,3,Moderate
Headphones,Systems Inc,3,2021,6,Minimal
Smartphone,Solutions Inc,1,2022,4,Moderate
Smartwatch,Gadget Ltd,3,2022,4,Minimal
Laptop,Tech Ltd,5,2020,5,Low
Headphones,Systems Ltd,2,2024,5,Minimal
Smartwatch,Systems Ltd,3,2023,6,Moderate
Headphones,Enterprises Ltd,2,2023,2,Minimal
Headphones,Enterprises Inc,1,2024,3,Minimal
Smartwatch,Enterprises Group,4,2023,3,Moderate
Laptop,Electronics Inc,5,2018,7,Moderate
Smartwatch,Solutions Inc,1,2023,5,High
Headphones,Innovations Corp,3,2021,4,Moderate
Smartphone,Tech Ltd,4,2020,3,High
Tablet,Tech Corp,2,2022,3,Minimal
Smartphone,Tech Inc,3,2020,8,Minimal
Tablet,Innovations Inc,5,2020,2,Low
Headphones,Innovations Corp,1,2019,6,Moderate
Smartphone,Enterprises Ltd,1,2022,5,Minimal
Headphones,Gadget Group,1,2024,4,Moderate
Tablet,Gadget Corp,3,2018,2,Minimal
Headphones,Gadget Inc,4,2019,6,High
Headphones,Enterprises Inc,3,2021,2,Minimal
Smartphone,Enterprises Inc,3,2022,5,Low
Headphones,Enterprises Corp,1,2018,4,Low
Tablet,Enterprises Ltd,3,2021,2,Low
Smartphone,Gadget Corp,5,2021,5,Minimal
Smartphone,Systems Inc,4,2021,4,High
Laptop,Electronics Inc,3,2022,5,Moderate
Laptop,Electronics Corp,3,2020,5,Minimal
Smartwatch,Tech Group,4,2022,3,Minimal
Smartwatch,Electronics Corp,1,2020,8,Moderate
Smartphone,Tech Ltd,1,2019,3,Minimal
Headphones,Gadget Inc,5,2021,8,Moderate
Tablet,Solutions Corp,2,2018,2,High
Tablet,Electronics Inc,4,2022,8,High
Smartwatch,Tech Group,5,2018,6,Minimal
Laptop,Tech Corp,5,2024,2,Moderate
Headphones,Systems Group,2,2021,5,Low
Tablet,Electronics Corp,2,2019,8,Minimal
Laptop,Enterprises Ltd,2,2018,4,Low
Tablet,Electronics Ltd,2,2018,5,Moderate
Smartwatch,Systems Group,1,2023,5,Minimal
Smartphone,Innovations Corp,3,2022,6,Minimal
Smartphone,Systems Group,3,2020,4,High
Laptop,Gadget Group,3,2022,2,Moderate
Tablet,Electronics Group,2,2019,2,Moderate
Laptop,Innovations Group,1,2021,8,Moderate
Smartwatch,Innovations Corp,3,2018,5,Moderate
Smartwatch,Solutions Group,3,2020,3,High
Laptop,Gadget Ltd,1,2023,7,Moderate
Headphones,Tech Inc,5,2023,2,Moderate
Laptop,Systems Corp,1,2018,5,High
Laptop,Gadget Corp,4,2020,2,High
Smartwatch,Innovations Group,1,2018,3,Moderate
Laptop,Innovations Inc,2,2024,3,Low
Headphones,Electronics Inc,5,2020,8,Low
Headphones,Systems Group,5,2023,3,Minimal
Tablet,Systems Group,3,2022,2,Minimal
Smartphone,Solutions Inc,4,2024,2,High
Tablet,Enterprises Ltd,2,2018,8,High
Headphones,Innovations Group,5,2022,5,Low
Laptop,Systems Group,3,2023,4,High
Tablet,Solutions Group,1,2020,3,Moderate
Smartphone,Electronics Ltd,1,2020,4,Minimal
Smartwatch,Systems Inc,3,2020,5,High
Smartwatch,Tech Inc,3,2023,8,Moderate
Headphones,Solutions Ltd,5,2021,7,Minimal
Laptop,Tech Ltd,1,2024,4,Minimal
Headphones,Systems Group,3,2021,5,Low
Tablet,Innovations Group,2,2023,6,Moderate
Tablet,Gadget Ltd,3,2023,4,Minimal
Smartwatch,Enterprises Corp,3,2022,5,Minimal
Headphones,Innovations Corp,2,2022,7,Moderate
Headphones,Innovations Group,5,2021,7,High
Smartwatch,Systems Group,2,2018,5,Moderate
Smartphone,Tech Group,1,2022,5,Moderate
Tablet,Systems Group,3,2020,2,Minimal
Laptop,Tech Group,2,2024,7,Low
Smartwatch,Electronics Corp,4,2024,2,Moderate
Smartwatch,Electronics Group,1,2019,5,High
Smartphone,Systems Inc,2,2020,5,Moderate
Laptop,Solutions Group,5,2022,4,Moderate
Smartphone,Innovations Ltd,5,2021,2,Moderate
Smartphone,Gadget Ltd,5,2020,7,Low
Tablet,Tech Inc,4,2020,6,Moderate
Headphones,Solutions Group,3,2019,6,Minimal
Tablet,Enterprises Group,3,2022,3,Moderate
Laptop,Electronics Group,4,2024,6,Moderate
Smartphone,Gadget Corp,1,2018,8,Minimal
Tablet,Systems Ltd,1,2024,2,Low
Tablet,Enterprises Group,1,2022,6,High
Tablet,Innovations Group,3,2023,6,High
Tablet,Innovations Group,2,2020,6,Minimal
Laptop,Solutions Corp,5,2019,8,Moderate
Laptop,Tech Ltd,1,2018,8,High
Laptop,Enterprises Corp,3,2018,6,High
Smartwatch,Solutions Ltd,5,2020,6,Moderate
Tablet,Gadget Corp,2,2020,2,Minimal
Tablet,Systems Ltd,2,2021,2,Low
Smartphone,Innovations Inc,3,2021,6,Low
Tablet,Gadget Inc,3,2020,7,Low
Tablet,Gadget Inc,1,2024,5,High
Headphones,Enterprises Ltd,5,2022,2,Low
Smartwatch,Enterprises Group,3,2018,7,Moderate
Tablet,Tech Group,1,2020,4,Minimal
Laptop,Innovations Group,3,2022,8,Moderate
Smartphone,Systems Inc,1,2024,5,Moderate
Smartphone,Innovations Inc,4,2018,6,High
Smartphone,Enterprises Ltd,1,2020,6,Minimal
Tablet,Enterprises Corp,2,2022,5,Moderate
Laptop,Gadget Corp,1,2021,8,Minimal
Smartwatch,Systems Group,2,2023,3,Minimal
Laptop,Innovations Ltd,4,2023,6,High
Headphones,Solutions Inc,4,2024,2,High
Headphones,Systems Ltd,4,2019,4,Minimal
Tablet,Solutions Corp,1,2020,3,High
Headphones,Solutions Group,3,2022,6,High
Laptop,Enterprises Inc,4,2018,4,High
Smartwatch,Gadget Inc,3,2022,5,Minimal
Laptop,Tech Inc,3,2022,3,Moderate
Smartphone,Solutions Inc,4,2022,7,High
Smartphone,Gadget Inc,3,2021,7,Minimal
Headphones,Solutions Ltd,1,2019,8,Moderate
Tablet,Systems Inc,3,2023,6,High
Headphones,Solutions Group,3,2018,4,Moderate
Tablet,Electronics Group,2,2020,2,High
Smartwatch,Gadget Inc,1,2018,3,High
Headphones,Systems Ltd,2,2021,3,Moderate
Headphones,Solutions Inc,5,2022,7,Low
Smartphone,Enterprises Corp,5,2020,7,Low
Smartwatch,Electronics Group,1,2023,5,Moderate
Laptop,Tech Group,4,2024,6,Low
Tablet,Enterprises Ltd,2,2023,4,High
Smartwatch,Systems Corp,2,2022,5,Minimal
Headphones,Systems Ltd,3,2020,6,Moderate
Smartphone,Gadget Ltd,4,2023,6,High
Smartwatch,Systems Corp,5,2019,2,Minimal
Tablet,Systems Corp,3,2019,8,Low
Tablet,Tech Inc,5,2021,7,Moderate
Headphones,Electronics Corp,3,2018,2,Low
Headphones,Gadget Ltd,1,2019,3,High
Headphones,Solutions Corp,3,2024,3,Minimal
Laptop,Enterprises Inc,5,2023,3,High
Headphones,Innovations Inc,1,2023,4,Moderate
Tablet,Electronics Inc,1,2020,5,High
Smartphone,Systems Group,3,2020,6,Moderate
Laptop,Systems Corp,1,2021,5,High
Smartphone,Tech Ltd,2,2019,2,Minimal
Headphones,Solutions Ltd,5,2021,8,Minimal
Headphones,Enterprises Corp,4,2019,2,Moderate
Smartwatch,Systems Corp,2,2020,8,High
Smartphone,Gadget Group,3,2018,5,Moderate
Tablet,Enterprises Inc,5,2021,3,Low
Smartphone,Electronics Inc,4,2021,3,Minimal
Tablet,Systems Inc,1,2020,2,High
Smartwatch,Electronics Inc,3,2019,8,High
Laptop,Solutions Inc,1,2023,3,Minimal
Tablet,Gadget Group,2,2024,7,Moderate
Headphones,Gadget Inc,1,2019,2,Moderate
Laptop,Innovations Inc,1,2022,8,Minimal
Headphones,Systems Inc,3,2022,4,Low
Smartphone,Innovations Inc,2,2020,6,Moderate
Smartphone,Gadget Corp,2,2018,5,High
Laptop,Enterprises Ltd,1,2019,7,Minimal
Headphones,Solutions Corp,1,2018,4,Low
Smartwatch,Innovations Corp,2,2022,4,High
Smartwatch,Systems Inc,1,2019,7,Moderate
Laptop,Enterprises Group,3,2020,6,Low
Tablet,Gadget Inc,3,2022,2,Moderate
Headphones,Tech Ltd,5,2019,4,Low
Smartwatch,Electronics Group,4,2021,3,High
Laptop,Tech Inc,5,2023,7,Minimal
Smartphone,Gadget Group,4,2020,2,Moderate
Tablet,Solutions Ltd,3,2021,6,High
Tablet,Solutions Ltd,4,2023,6,Minimal
Headphones,Innovations Ltd,2,2024,3,Minimal
Headphones,Systems Inc,1,2020,6,Low
Laptop,Tech Ltd,4,2023,7,Moderate
Smartphone,Tech Inc,3,2023,6,Minimal
Smartphone,Innovations Inc,3,2023,5,Low
Laptop,Electronics Inc,5,2020,8,High
Tablet,Innovations Corp,2,2019,2,High
Tablet,Enterprises Corp,3,2019,8,Moderate
Laptop,Solutions Group,5,2021,4,High
Tablet,Tech Inc,1,2023,5,Minimal
Tablet,Solutions Ltd,2,2023,8,Minimal
Tablet,Tech Inc,5,2023,6,Moderate
Smartwatch,Systems Ltd,1,2019,7,High
Smartwatch,Innovations Corp,2,2024,6,Low
Smartwatch,Tech Group,1,2020,8,Low
Laptop,Gadget Ltd,3,2022,2,High
Smartphone,Systems Ltd,1,2018,5,Minimal
Smartwatch,Tech Ltd,3,2020,8,High
Smartwatch,Tech Group,1,2022,3,High
Headphones,Tech Inc,5,2023,5,High
Tablet,Systems Corp,4,2019,3,Moderate
Headphones,Enterprises Group,5,2021,2,Minimal
Smartwatch,Enterprises Corp,4,2021,3,Moderate
Headphones,Enterprises Corp,2,2019,5,Low
Tablet,Electronics Ltd,5,2022,2,Moderate
Tablet,Enterprises Corp,3,2023,7,Minimal
Laptop,Tech Ltd,5,2024,4,High
Tablet,Systems Inc,2,2022,8,High
Laptop,Electronics Group,1,2019,6,High
Tablet,Electronics Group,5,2023,4,Moderate
Smartwatch,Systems Inc,2,2023,6,Low
Smartwatch,Innovations Inc,5,2024,2,Low
Headphones,Enterprises Ltd,5,2021,7,Minimal
Headphones,Systems Corp,3,2020,8,High
Smartwatch,Electronics Corp,5,2024,2,Minimal
Tablet,Enterprises Group,5,2022,6,High
Smartphone,Innovations Ltd,1,2019,5,Minimal
Headphones,Solutions Group,3,2019,2,High
Headphones,Systems Inc,4,2018,8,High
Smartphone,Enterprises Inc,2,2022,7,Moderate
Smartphone,Tech Inc,1,2020,5,High
Smartwatch,Electronics Corp,3,2018,2,Minimal
Headphones,Gadget Group,1,2019,4,Moderate
Tablet,Innovations Ltd,4,2023,6,High
Laptop,Electronics Ltd,4,2022,3,Moderate
Smartphone,Systems Group,5,2020,2,Low
Smartphone,Solutions Inc,1,2024,3,Low
Laptop,Solutions Group,5,2021,6,High
Laptop,Enterprises Inc,4,2021,7,Moderate
Tablet,Systems Corp,2,2022,8,Minimal
Smartphone,Systems Ltd,1,2018,4,Moderate
Headphones,Enterprises Corp,2,2019,7,Moderate
Smartphone,Innovations Inc,4,2024,7,Low
Smartwatch,Enterprises Group,4,2018,8,High
Laptop,Solutions Inc,4,2022,3,Minimal
Laptop,Tech Ltd,3,2019,3,High
Smartwatch,Solutions Corp,5,2019,3,Low
Smartphone,Solutions Group,4,2020,4,Low
Laptop,Electronics Group,4,2019,7,Minimal
Smartwatch,Innovations Ltd,1,2019,2,Moderate
Headphones,Systems Ltd,1,2018,4,Low
Tablet,Gadget Ltd,4,2024,7,Moderate
Tablet,Tech Inc,4,2023,8,High
Smartwatch,Electronics Group,1,2019,8,Moderate
Smartwatch,Electronics Corp,5,2024,4,Low
Smartphone,Enterprises Group,5,2018,4,High
Laptop,Tech Inc,2,2019,5,High
Smartphone,Innovations Group,2,2018,8,High
Smartwatch,Solutions Group,3,2023,5,Low
Smartphone,Enterprises Inc,3,2022,3,Moderate
Smartwatch,Solutions Ltd,3,2023,8,Minimal
Smartwatch,Solutions Group,3,2024,6,Low
Tablet,Tech Ltd,4,2023,6,High
Tablet,Innovations Group,4,2019,7,Low
Smartphone,Solutions Ltd,1,2018,6,Moderate
Smartphone,Enterprises Ltd,3,2020,7,Minimal
Smartwatch,Innovations Corp,2,2022,2,Moderate
Laptop,Tech Corp,4,2019,4,High
Headphones,Gadget Inc,4,2018,2,Minimal
Laptop,Systems Group,4,2019,7,Minimal
Laptop,Electronics Inc,4,2021,2,Low
Laptop,Innovations Ltd,1,2024,4,Moderate
Smartphone,Tech Corp,5,2020,2,Minimal
Smartphone,Tech Ltd,3,2022,4,Minimal
Smartphone,Systems Group,4,2021,8,High
Smartphone,Enterprises Group,5,2022,6,Minimal
Headphones,Solutions Ltd,5,2022,7,Low
Headphones,Innovations Corp,4,2023,4,Moderate
Smartwatch,Solutions Ltd,2,2024,4,High
Smartwatch,Enterprises Corp,5,2024,8,Minimal
Laptop,Gadget Group,3,2018,3,Moderate
Smartphone,Electronics Inc,1,2024,2,Minimal
Laptop,Enterprises Group,3,2018,2,High
Headphones,Systems Group,1,2022,2,Low
Headphones,Electronics Ltd,3,2022,5,High
Smartwatch,Gadget Corp,4,2019,6,Minimal
Laptop,Gadget Inc,1,2022,6,Moderate
Headphones,Enterprises Ltd,1,2020,3,Moderate
Laptop,Solutions Corp,1,2023,3,Low
Headphones,Electronics Corp,1,2018,8,High
Tablet,Electronics Inc,2,2020,3,Minimal
Smartphone,Innovations Corp,3,2019,3,High
Smartphone,Gadget Inc,4,2023,6,Moderate
Smartphone,Tech Corp,3,2021,6,Moderate
Tablet,Enterprises Ltd,1,2023,5,Low
Laptop,Electronics Ltd,3,2023,2,Low
Laptop,Innovations Inc,3,2019,5,Low
Headphones,Electronics Inc,4,2021,8,Low
Tablet,Enterprises Inc,5,2019,6,High
Smartphone,Electronics Ltd,1,2021,4,Moderate
Laptop,Innovations Inc,1,2022,4,Low
Smartphone,Gadget Inc,3,2020,4,Low
Tablet,Tech Ltd,1,2022,2,Low
Smartwatch,Solutions Inc,5,2021,7,High
Smartphone,Systems Group,4,2018,5,Moderate
Smartphone,Enterprises Ltd,1,2023,5,Moderate
Headphones,Systems Corp,2,2023,3,Minimal
Tablet,Tech Corp,4,2023,4,Moderate
Tablet,Tech Ltd,5,2021,3,Minimal
Laptop,Systems Inc,5,2018,8,Minimal
Smartwatch,Gadget Ltd,1,2019,5,Low
Laptop,Innovations Ltd,3,2021,5,Low
Smartphone,Innovations Inc,4,2019,8,Low
Laptop,Enterprises Ltd,5,2024,3,Low
Smartphone,Gadget Corp,4,2019,2,High
Laptop,Enterprises Group,1,2020,7,High
Smartwatch,Systems Ltd,5,2024,8,Moderate
Tablet,Enterprises Group,4,2022,6,Moderate
Smartwatch,Tech Group,2,2023,3,Moderate
Headphones,Innovations Ltd,2,2024,8,Moderate
Smartwatch,Enterprises Inc,4,2018,5,High
Headphones,Electronics Inc,2,2024,4,Low
Smartwatch,Gadget Inc,2,2019,7,High
Headphones,Solutions Group,3,2020,6,Minimal
Smartphone,Gadget Inc,4,2022,3,Minimal
Laptop,Enterprises Group,1,2018,8,Minimal
Laptop,Systems Inc,5,2019,8,Minimal
Smartwatch,Innovations Inc,3,2023,7,Moderate
Smartphone,Electronics Ltd,1,2018,7,Minimal
Headphones,Solutions Inc,5,2023,3,Low
Laptop,Systems Corp,2,2020,7,Low
Smartwatch,Tech Corp,2,2020,2,High
Tablet,Electronics Inc,1,2024,5,Low
Headphones,Enterprises Ltd,3,2022,6,High
Smartwatch,Electronics Corp,2,2021,3,Low
Smartphone,Systems Ltd,3,2024,3,Low
Laptop,Electronics Inc,1,2019,2,Minimal
Tablet,Gadget Group,3,2018,5,Minimal
Headphones,Solutions Group,2,2018,7,Low
Headphones,Enterprises Ltd,3,2023,2,Minimal
Headphones,Solutions Inc,3,2022,2,High
Headphones,Innovations Ltd,3,2020,4,Moderate
Headphones,Innovations Group,1,2021,3,Minimal
Tablet,Tech Corp,3,2023,6,Moderate
Laptop,Tech Ltd,2,2018,7,Minimal
Smartphone,Tech Inc,3,2023,5,Low
Headphones,Electronics Group,3,2024,4,Moderate
Laptop,Solutions Group,2,2019,5,High
Tablet,Electronics Group,1,2020,5,Moderate
Smartwatch,Solutions Corp,3,2021,3,Minimal
Smartphone,Solutions Inc,1,2018,6,Low
Smartwatch,Innovations Corp,3,2019,6,Minimal
Laptop,Systems Inc,3,2022,8,Minimal
Smartwatch,Systems Corp,2,2020,3,Minimal
Tablet,Systems Group,4,2019,2,Low
Smartphone,Systems Inc,3,2018,7,High
Laptop,Gadget Corp,5,2023,2,Low
Tablet,Solutions Corp,2,2021,6,Moderate
Laptop,Innovations Corp,4,2021,4,Moderate
Laptop,Tech Corp,4,2019,4,Minimal
Laptop,Solutions Corp,5,2019,4,Moderate
Smartwatch,Tech Inc,1,2024,4,Moderate
Laptop,Systems Ltd,4,2020,3,Moderate
Headphones,Electronics Inc,3,2018,2,Moderate
Tablet,Electronics Inc,2,2024,7,High
Tablet,Tech Inc,2,2024,6,Moderate
Headphones,Electronics Corp,1,2024,8,Low
Tablet,Electronics Corp,4,2022,3,Moderate
Smartwatch,Innovations Corp,4,2022,4,High
Smartwatch,Enterprises Corp,1,2019,4,Minimal
Tablet,Electronics Inc,2,2023,5,Low
Tablet,Solutions Inc,3,2018,6,Low
Headphones,Innovations Group,4,2019,4,Minimal
Laptop,Tech Inc,1,2019,4,Moderate
Smartphone,Systems Corp,4,2018,2,Moderate
Tablet,Innovations Corp,2,2024,8,Minimal
Laptop,Tech Inc,2,2020,5,Minimal
Headphones,Tech Corp,3,2023,6,Low
Headphones,Innovations Inc,2,2021,8,High
Smartphone,Systems Ltd,2,2023,3,High
Tablet,Innovations Ltd,5,2019,7,Low
Headphones,Solutions Group,5,2020,4,Minimal
Laptop,Systems Corp,2,2023,6,High
Tablet,Tech Group,2,2021,8,Moderate
Headphones,Systems Group,4,2018,6,Minimal
Tablet,Tech Corp,5,2021,5,Moderate
Laptop,Enterprises Ltd,2,2023,4,Moderate
Smartwatch,Tech Inc,2,2019,2,Minimal
Tablet,Electronics Ltd,5,2020,6,Low
Laptop,Solutions Corp,1,2018,5,Low
Tablet,Gadget Inc,1,2024,6,Minimal
Smartwatch,Tech Group,4,2023,2,Moderate
Smartwatch,Innovations Group,3,2021,7,Minimal
Smartwatch,Systems Ltd,4,2021,8,Moderate
